,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
138,The Pink Phantom,The Lockdown Sessions,2021-10-22,7,2NzDk6nUaYta9NOOcMflD5,spotify:track:2NzDk6nUaYta9NOOcMflD5,0.534,0.354,0.484,0.000271,0.0614,-7.964,0.0419,64.486,0.443,3,253053
139,It's a sin - global reach mix,The Lockdown Sessions,2021-10-22,8,0nouOcLzX6iffFE11G8upU,spotify:track:0nouOcLzX6iffFE11G8upU,0.0568,0.605,0.837,6.56e-05,0.236,-6.392,0.0361,125.014,0.234,4,284904
140,Nothing Else Matters,The Lockdown Sessions,2021-10-22,9,1tYhWhMkLuXn23iIgD1hDY,spotify:track:1tYhWhMkLuXn23iIgD1hDY,0.00574,0.446,0.666,2.49e-05,0.128,-5.13,0.0296,142.42,0.126,5,395785
141,Orbit,The Lockdown Sessions,2021-10-22,10,1tV1KNp41bAR55iQAaJNAD,spotify:track:1tV1KNp41bAR55iQAaJNAD,0.00283,0.736,0.81,0.077,0.123,-4.16,0.0367,113.993,0.774,3,208225
142,Simple Things,The Lockdown Sessions,2021-10-22,11,0aEuDNjXuh8Ll0fYGTB5uC,spotify:track:0aEuDNjXuh8Ll0fYGTB5uC,0.321,0.497,0.795,7.3e-05,0.142,-4.53,0.0308,87.968,0.27,2,251585
143,Beauty In The Bones,The Lockdown Sessions,2021-10-22,12,0RinJGIH7LMebIK1nCMC9c,spotify:track:0RinJGIH7LMebIK1nCMC9c,0.00969,0.585,0.821,5.38e-06,0.0933,-4.598,0.085,155.051,0.169,2,230870
144,One Of Me,The Lockdown Sessions,2021-10-22,13,6DmFuH3t6Cz7xMj5IaCe4s,spotify:track:6DmFuH3t6Cz7xMj5IaCe4s,0.155,0.714,0.578,0.0,0.193,-4.915,0.0539,144.05,0.534,0,161666
145,E-Ticket,The Lockdown Sessions,2021-10-22,14,3aUGBfn5hApf5s5V6nAgAJ,spotify:track:3aUGBfn5hApf5s5V6nAgAJ,0.000401,0.394,0.937,0.0,0.154,-2.055,0.0698,138.14,0.297,6,198817
146,Finish Line,The Lockdown Sessions,2021-10-22,15,584uV9RRsQ7QcEAVbxuf1o,spotify:track:584uV9RRsQ7QcEAVbxuf1o,0.0922,0.467,0.803,0.0,0.193,-3.358,0.0508,171.902,0.48,3,264846
147,Stolen Car,The Lockdown Sessions,2021-10-22,16,5sxNfugfBWM6q883qHnfx8,spotify:track:5sxNfugfBWM6q883qHnfx8,0.00617,0.507,0.769,9.09e-05,0.223,-4.201,0.0326,139.841,0.246,3,337753
148,I'm Not Gonna Miss You,The Lockdown Sessions,2021-10-22,17,7kq59XNfKrlcdGPKDTPuMl,spotify:track:7kq59XNfKrlcdGPKDTPuMl,0.0694,0.368,0.461,0.000461,0.228,-6.478,0.026,63.396,0.127,8,176554
149,Merry Christmas,The Lockdown Sessions,2021-10-22,18,1owbXNhNz8Jsde7mTydNgg,spotify:track:1owbXNhNz8Jsde7mTydNgg,0.255,0.591,0.937,2.44e-06,0.1,-1.937,0.0341,113.982,0.619,3,208546
150,Hold Me Closer,The Lockdown Sessions,2021-10-22,1,3lFwSDBCNo3CcN09UppUnm,spotify:track:3lFwSDBCNo3CcN09UppUnm,0.0798,0.658,0.783,0.00018,0.187,-4.615,0.113,126.027,0.491,63,202245
151,Cold Heart - PNAU Remix,The Lockdown Sessions,2021-10-22,2,4Ndro8GeUg9OQy19rVAKWc,spotify:track:4Ndro8GeUg9OQy19rVAKWc,0.0465,0.806,0.794,4.91e-05,0.092,-6.344,0.0328,116.045,0.928,30,202735
152,Always Love You,The Lockdown Sessions,2021-10-22,3,5PZCzF5fJpoSXfHqc6i67T,spotify:track:5PZCzF5fJpoSXfHqc6i67T,0.238,0.672,0.65,2.57e-06,0.105,-4.817,0.0433,122.981,0.276,17,257237
153,Learn To Fly,The Lockdown Sessions,2021-10-22,4,2T7BRmoE91wKg6jLe113V5,spotify:track:2T7BRmoE91wKg6jLe113V5,0.547,0.563,0.527,0.0,0.0683,-6.23,0.0812,173.751,0.648,14,211213
154,After All,The Lockdown Sessions,2021-10-22,5,0vc9eCqjnSbh3Iqu4s588U,spotify:track:0vc9eCqjnSbh3Iqu4s588U,0.318,0.501,0.528,0.000165,0.114,-5.623,0.0258,82.01,0.14,16,208714
155,Chosen Family,The Lockdown Sessions,2021-10-22,6,3TPm5I4QwoVoaUTNEfsmty,spotify:track:3TPm5I4QwoVoaUTNEfsmty,0.52,0.489,0.566,0.0,0.0713,-6.956,0.0428,145.921,0.245,12,280381
156,The Pink Phantom,The Lockdown Sessions,2021-10-22,7,7mY4CKLOydQOPZXlgX0kDV,spotify:track:7mY4CKLOydQOPZXlgX0kDV,0.526,0.352,0.486,0.000325,0.0675,-7.97,0.0452,64.527,0.394,12,253053
157,It's a sin - global reach mix,The Lockdown Sessions,2021-10-22,8,1b23D1qMqevPQIh3UqAqlN,spotify:track:1b23D1qMqevPQIh3UqAqlN,0.0493,0.613,0.83,9.1e-05,0.237,-6.41,0.0369,125.025,0.207,12,284904
158,Nothing Else Matters,The Lockdown Sessions,2021-10-22,9,7MlxgkiOTWDdXWnEuOIKw2,spotify:track:7MlxgkiOTWDdXWnEuOIKw2,0.00543,0.459,0.674,3.46e-05,0.131,-5.148,0.0297,142.458,0.137,14,395785
159,Orbit,The Lockdown Sessions,2021-10-22,10,5XCmDX8m7FkqHa2N7Ty37O,spotify:track:5XCmDX8m7FkqHa2N7Ty37O,0.00275,0.735,0.809,0.0748,0.121,-4.18,0.0368,114.008,0.798,11,208225
160,Simple Things,The Lockdown Sessions,2021-10-22,11,6rQlw5IkHeCOMwWFi5qQUn,spotify:track:6rQlw5IkHeCOMwWFi5qQUn,0.315,0.485,0.802,0.000103,0.143,-4.527,0.0345,88.035,0.235,10,251585
161,Beauty In The Bones,The Lockdown Sessions,2021-10-22,12,3j9dv4McschuKlqes8ZRuk,spotify:track:3j9dv4McschuKlqes8ZRuk,0.0104,0.579,0.819,5.98e-06,0.0933,-4.613,0.0909,155.015,0.165,9,230870
