,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
41,Head > Heels,Autumn Variations,2023-09-29,14,0ehxgCWdhKRdnRn9MmrUbu,spotify:track:0ehxgCWdhKRdnRn9MmrUbu,0.759,0.711,0.328,0.000538,0.116,-9.172,0.0592,77.539,0.347,51,253881
42,Boat,- (Deluxe),2023-05-05,1,6jemILri7l5LuPhKs2nuXr,spotify:track:6jemILri7l5LuPhKs2nuXr,0.758,0.47,0.203,2.41e-06,0.312,-8.676,0.0371,153.578,0.325,69,185675
43,Salt Water,- (Deluxe),2023-05-05,2,6UIcjH0BzH2MKvToeEYIOZ,spotify:track:6UIcjH0BzH2MKvToeEYIOZ,0.617,0.584,0.374,2.86e-06,0.0694,-9.224,0.0337,147.084,0.279,62,239770
44,Eyes Closed,- (Deluxe),2023-05-05,3,3p7XQpdt8Dr6oMXSvRZ9bg,spotify:track:3p7XQpdt8Dr6oMXSvRZ9bg,0.246,0.793,0.52,0.0,0.0878,-7.457,0.0696,107.014,0.309,84,194848
45,Life Goes On,- (Deluxe),2023-05-05,4,74eJR4gwG1ZmG4BFkbrOlA,spotify:track:74eJR4gwG1ZmG4BFkbrOlA,0.813,0.629,0.312,0.0,0.169,-7.609,0.0318,77.044,0.456,65,210208
46,Dusty,- (Deluxe),2023-05-05,5,4u4A4lPpiw54evLxTaLeRJ,spotify:track:4u4A4lPpiw54evLxTaLeRJ,0.226,0.711,0.55,0.00928,0.12,-9.682,0.0332,146.928,0.616,61,222957
47,End Of Youth,- (Deluxe),2023-05-05,6,0vber253Le8WWt7gKorVe9,spotify:track:0vber253Le8WWt7gKorVe9,0.488,0.663,0.436,0.0,0.116,-7.81,0.0359,143.197,0.316,65,231040
48,Colourblind,- (Deluxe),2023-05-05,7,290x9rCh2EWcJ9YKpfiI9z,spotify:track:290x9rCh2EWcJ9YKpfiI9z,0.85,0.428,0.296,3.63e-06,0.0767,-8.731,0.0396,169.744,0.156,62,209267
49,Curtains,- (Deluxe),2023-05-05,8,6ZZf5a8oiInHDkBe9zXfLP,spotify:track:6ZZf5a8oiInHDkBe9zXfLP,0.0989,0.5,0.757,2.5e-06,0.324,-6.542,0.0522,175.944,0.443,68,224803
50,Borderline,- (Deluxe),2023-05-05,9,0bCnvkP7PYCJV64sQLl5mm,spotify:track:0bCnvkP7PYCJV64sQLl5mm,0.941,0.51,0.316,2.5e-05,0.0936,-10.001,0.0289,139.917,0.226,59,237756
51,Spark,- (Deluxe),2023-05-05,10,26J3f0d3ZuN7g66xBdey8o,spotify:track:26J3f0d3ZuN7g66xBdey8o,0.776,0.56,0.616,0.000334,0.0901,-7.523,0.032,172.031,0.399,60,214846
52,Vega,- (Deluxe),2023-05-05,11,1DSwFkEe28GSFmdIK92OFX,spotify:track:1DSwFkEe28GSFmdIK92OFX,0.803,0.743,0.405,0.0,0.134,-7.901,0.0416,124.041,0.353,62,178114
53,Sycamore,- (Deluxe),2023-05-05,12,3qwxZ8ygOYSWE790KcfgU1,spotify:track:3qwxZ8ygOYSWE790KcfgU1,0.727,0.592,0.32,0.0,0.259,-8.069,0.0331,134.085,0.35,61,170075
54,No Strings,- (Deluxe),2023-05-05,13,09UTOp33EhOSWzvGL0YOws,spotify:track:09UTOp33EhOSWzvGL0YOws,0.829,0.644,0.345,0.0,0.12,-6.433,0.0268,80.957,0.252,58,174087
55,The Hills of Aberfeldy,- (Deluxe),2023-05-05,14,1eYafSv4c2aFNf98hSFHX0,spotify:track:1eYafSv4c2aFNf98hSFHX0,0.872,0.436,0.19,0.0,0.0971,-7.693,0.0303,79.571,0.326,62,195083
56,Wildflowers - Bonus Track,- (Deluxe),2023-05-05,15,75To9uF11PYY0vAkXnDWvW,spotify:track:75To9uF11PYY0vAkXnDWvW,0.86,0.764,0.233,0.00185,0.0939,-9.099,0.0302,131.982,0.155,56,178206
57,Stoned - Bonus Track,- (Deluxe),2023-05-05,16,5M12X6gQDoMMqqlRDg5Bfo,spotify:track:5M12X6gQDoMMqqlRDg5Bfo,0.76,0.695,0.322,0.0,0.0895,-7.145,0.03,119.937,0.4,56,197098
58,Toughest - Bonus Track,- (Deluxe),2023-05-05,17,0C1dOJr5ae2tJSUGxMXTcC,spotify:track:0C1dOJr5ae2tJSUGxMXTcC,0.562,0.623,0.547,0.0,0.129,-7.077,0.0342,133.297,0.484,56,213768
59,Moving - Bonus Track,- (Deluxe),2023-05-05,18,0Himk13I9FPFVwSyPhU3WD,spotify:track:0Himk13I9FPFVwSyPhU3WD,0.763,0.611,0.394,0.0,0.153,-6.786,0.0306,74.998,0.728,55,215247
60,Tides,= (Tour Edition),2022-05-27,1,2034O98KseYfXW4eETgm9h,spotify:track:2034O98KseYfXW4eETgm9h,0.0167,0.631,0.825,0.0,0.122,-3.971,0.0433,129.942,0.427,37,195760
61,Shivers,= (Tour Edition),2022-05-27,2,6SR8tWgGvYoA2VJDgPQSWo,spotify:track:6SR8tWgGvYoA2VJDgPQSWo,0.281,0.788,0.859,0.0,0.0424,-2.724,0.0856,141.02,0.822,39,207853
62,First Times,= (Tour Edition),2022-05-27,3,6ih77QgShm0RSp913VkGZn,spotify:track:6ih77QgShm0RSp913VkGZn,0.84,0.587,0.267,0.0,0.121,-9.206,0.0349,98.845,0.352,36,185853
63,Bad Habits,= (Tour Edition),2022-05-27,4,5jRvUR9rwKALlZQ1EzGjBI,spotify:track:5jRvUR9rwKALlZQ1EzGjBI,0.0451,0.807,0.893,2.79e-05,0.366,-3.745,0.0347,126.011,0.537,38,230746
64,Overpass Graffiti,= (Tour Edition),2022-05-27,5,0FRBToHz6nkJTk2MqVAnX9,spotify:track:0FRBToHz6nkJTk2MqVAnX9,0.00253,0.52,0.849,0.0,0.119,-3.794,0.186,175.908,0.774,38,236906
65,The Joker And The Queen,= (Tour Edition),2022-05-27,6,49fcoVTl7mQtaGrOu5eWWf,spotify:track:49fcoVTl7mQtaGrOu5eWWf,0.952,0.567,0.211,5.24e-05,0.275,-9.975,0.0315,134.019,0.289,35,185586
66,Leave Your Life,= (Tour Edition),2022-05-27,7,1REhY89NpcXlSsA5OR09pV,spotify:track:1REhY89NpcXlSsA5OR09pV,0.236,0.578,0.558,0.0,0.143,-5.438,0.0872,75.087,0.54,34,223866
67,Collide,= (Tour Edition),2022-05-27,8,362gtoLRmu1RfqolIFxXcL,spotify:track:362gtoLRmu1RfqolIFxXcL,0.113,0.672,0.73,0.0,0.0612,-4.77,0.0372,123.969,0.559,35,210213
68,2step,= (Tour Edition),2022-05-27,9,0Kyf0mywQUx3aqtYVtiR6U,spotify:track:0Kyf0mywQUx3aqtYVtiR6U,0.169,0.763,0.661,0.0,0.117,-5.592,0.056,95.002,0.632,37,153626
69,Stop The Rain,= (Tour Edition),2022-05-27,10,781z6KOhWIytOCGXsWoL0H,spotify:track:781z6KOhWIytOCGXsWoL0H,0.0122,0.686,0.765,0.0,0.127,-4.778,0.118,99.998,0.743,34,203493
70,Love In Slow Motion,= (Tour Edition),2022-05-27,11,1ZNI4Ab5Ojwha9OCmtqE6n,spotify:track:1ZNI4Ab5Ojwha9OCmtqE6n,0.668,0.485,0.54,0.0,0.0849,-5.4,0.0253,62.631,0.426,34,190933
